iter	Passed	Remaining
798	10859	4186
799	10872	4172
800	10885	4158
801	10898	4144
802	10911	4130
803	10924	4117
804	10936	4103
805	10949	4089
806	10962	4075
807	10976	4061
808	10991	4048
809	11005	4035
810	11018	4021
811	11032	4008
812	11050	3996
813	11063	3982
814	11077	3969
815	11091	3955
816	11104	3941
817	11117	3927
818	11130	3913
819	11142	3899
820	11156	3886
821	11169	3872
822	11182	3858
823	11195	3845
824	11211	3832
825	11224	3818
826	11238	3804
827	11252	3791
828	11265	3777
829	11278	3763
830	11290	3749
831	11302	3735
832	11315	3722
833	11327	3708
834	11339	3693
835	11352	3680
836	11365	3666
837	11379	3652
838	11392	3639
839	11407	3625
840	11430	3615
841	11444	3601
842	11457	3587
843	11470	3574
844	11483	3560
845	11495	3546
846	11509	3532
847	11522	3519
848	11534	3505
849	11547	3491
850	11561	3477
851	11574	3464
852	11587	3450
853	11600	3436
854	11612	3422
855	11628	3409
856	11642	3396
857	11656	3382
858	11669	3369
859	11682	3355
860	11695	3341
861	11707	3327
862	11720	3313
863	11732	3299
864	11745	3286
865	11758	3272
866	11773	3259
867	11787	3245
868	11800	3231
869	11813	3218
870	11827	3204
871	11840	3191
872	11853	3177
873	11867	3163
874	11881	3150
875	11893	3136
876	11906	3122
877	11920	3109
878	11933	3095
879	11946	3081
880	11959	3067
881	11973	3054
882	11987	3040
883	12000	3027
884	12012	3013
885	12025	2999
886	12041	2986
887	12055	2973
888	12068	2959
889	12081	2945
890	12093	2931
891	12105	2917
892	12118	2904
893	12132	2890
894	12146	2877
895	12158	2863
896	12171	2849
897	12186	2836
898	12198	2822
899	12211	2808
900	12223	2794
901	12237	2781
902	12252	2767
903	12276	2756
904	12291	2743
905	12305	2729
906	12318	2716
907	12331	2702
908	12343	2688
909	12356	2674
910	12368	2660
911	12381	2647
912	12395	2633
913	12408	2620
914	12421	2606
915	12433	2592
916	12446	2578
917	12462	2565
918	12477	2552
919	12490	2538
920	12503	2525
921	12516	2511
922	12528	2497
923	12541	2483
924	12555	2470
925	12568	2456
926	12581	2443
927	12595	2429
928	12607	2415
929	12620	2401
930	12632	2388
931	12645	2374
932	12658	2360
933	12672	2347
934	12687	2333
935	12701	2320
936	12713	2306
937	12727	2293
938	12741	2279
939	12753	2265
940	12766	2252
941	12778	2238
942	12792	2224
943	12805	2211
944	12818	2197
945	12831	2183
946	12843	2170
947	12856	2156
948	12870	2142
949	12885	2129
950	12899	2115
951	12913	2102
952	12925	2088
953	12937	2074
954	12951	2061
955	12964	2047
956	12976	2033
957	12989	2020
958	13003	2006
959	13016	1993
960	13029	1979
961	13040	1965
962	13053	1951
963	13066	1938
964	13080	1924
965	13094	1911
966	13109	1897
967	13131	1885
968	13144	1871
969	13157	1858
970	13170	1844
971	13183	1830
972	13195	1817
973	13207	1803
974	13220	1789
975	13233	1776
976	13246	1762
977	13259	1748
978	13271	1735
979	13284	1721
980	13302	1708
981	13318	1695
982	13332	1681
983	13345	1668
984	13358	1654
985	13373	1641
986	13385	1627
987	13399	1613
988	13412	1600
989	13426	1586
990	13440	1573
991	13453	1559
992	13467	1546
993	13481	1532
994	13494	1518
995	13507	1505
996	13521	1491
997	13534	1478
998	13549	1464
999	13563	1451
1000	13577	1437
1001	13590	1424
1002	13603	1410
1003	13615	1396
1004	13628	1383
1005	13641	1369
1006	13654	1355
1007	13667	1342
1008	13679	1328
1009	13691	1314
1010	13704	1301
1011	13717	1287
1012	13730	1274
1013	13745	1260
1014	13761	1247
1015	13777	1233
1016	13790	1220
1017	13803	1206
1018	13816	1193
1019	13828	1179
1020	13841	1165
1021	13855	1152
1022	13868	1138
1023	13881	1125
1024	13893	1111
1025	13906	1097
1026	13918	1084
1027	13931	1070
1028	13944	1056
1029	13958	1043
1030	13970	1029
1031	13992	1016
1032	14008	1003
1033	14021	989
1034	14034	976
1035	14047	962
1036	14062	949
1037	14073	935
1038	14086	921
1039	14100	908
1040	14112	894
1041	14124	881
1042	14138	867
1043	14151	853
1044	14164	840
1045	14178	826
1046	14193	813
1047	14207	799
1048	14221	786
1049	14234	772
1050	14247	759
1051	14260	745
1052	14274	732
1053	14286	718
1054	14300	704
1055	14313	691
1056	14326	677
1057	14339	664
1058	14352	650
1059	14366	636
1060	14380	623
1061	14395	609
1062	14414	596
1063	14429	583
1064	14444	569
1065	14457	556
1066	14470	542
1067	14483	528
1068	14496	515
1069	14509	501
1070	14521	488
1071	14534	474
1072	14547	460
1073	14561	447
1074	14575	433
1075	14588	420
1076	14603	406
1077	14616	393
1078	14629	379
1079	14642	366
1080	14655	352
1081	14673	339
1082	14687	325
1083	14701	311
1084	14714	298
1085	14728	284
1086	14742	271
1087	14754	257
1088	14767	244
1089	14779	230
1090	14793	216
1091	14808	203
1092	14823	189
1093	14839	176
1094	14855	162
1095	14869	149
1096	14883	135
1097	14897	122
1098	14911	108
1099	14925	94
1100	14939	81
1101	14955	67
1102	14970	54
1103	14985	40
1104	14999	27
1105	15020	13
1106	15037	0
